title,price,link,product_searched,store
Dettol Soap Cool 160gm,Rs. 160,https://www.daraz.pk/products/dettol-soap-cool-160gm-i892553020.html,Dettol Soap,Daraz
Dettol Soap Skincare 110gm - Pack of 3,Rs. 375,https://www.daraz.pk/products/dettol-soap-skincare-110gm-pack-of-3-i892539248.html,Dettol Soap,Daraz
Dettol Soap Skincare 160gm,Rs. 160,https://www.daraz.pk/products/dettol-soap-skincare-160gm-i892553025.html,Dettol Soap,Daraz
Dettol Soap Original 110gm - Pack of 3,Rs. 400,https://www.daraz.pk/products/dettol-soap-original-110gm-pack-of-3-i892498948.html,Dettol Soap,Daraz
Dettol Soap Fresh 110gm,Rs. 130,https://www.daraz.pk/products/dettol-soap-fresh-110gm-i216067130.html,Dettol Soap,Daraz
Dettol Soap Cool 110gm - Pack of 3,Rs. 400,https://www.daraz.pk/products/dettol-soap-cool-110gm-pack-of-3-i892500867.html,Dettol Soap,Daraz
Dettol Soap Skincare 80gm,Rs. 110,https://www.daraz.pk/products/dettol-soap-skincare-80gm-i143028884.html,Dettol Soap,Daraz
Dettol Soap Skincare 110gm,Rs. 130,https://www.daraz.pk/products/dettol-soap-skincare-110gm-i143042047.html,Dettol Soap,Daraz
Dettol Soap Cool 80gm - Pack of 3,Rs. 330,https://www.daraz.pk/products/dettol-soap-cool-80gm-pack-of-3-i4756971.html,Dettol Soap,Daraz
FREE Dettol Soap Fresh 80gm with Dettol Soap Cool 110gm - Pack of 4,Rs. 587,https://www.daraz.pk/products/free-dettol-soap-fresh-80gm-with-dettol-soap-cool-110gm-pack-of-4-i214520989.html,Dettol Soap,Daraz
Dettol Soap Skincare 110gm - Pack of 12,"Rs. 1,350",https://www.daraz.pk/products/dettol-soap-skincare-110gm-pack-of-12-i209182114.html,Dettol Soap,Daraz
Dettol Soap Original 80gm - Pack of 3,Rs. 330,https://www.daraz.pk/products/dettol-soap-original-80gm-pack-of-3-i4756970.html,Dettol Soap,Daraz
Dettol Soap Original 110gm,Rs. 150,https://www.daraz.pk/products/dettol-soap-original-110gm-i124042027.html,Dettol Soap,Daraz
Dettol Soap Cool 110gm - Pack of 12,"Rs. 1,550",https://www.daraz.pk/products/dettol-soap-cool-110gm-pack-of-12-i422519280.html,Dettol Soap,Daraz
Dettol Soap Original 110gm - Pack of 4,Rs. 530,https://www.daraz.pk/products/dettol-soap-original-110gm-pack-of-4-i4756979.html,Dettol Soap,Daraz
Dettol Soap Cool 110gm - Pack of 4,Rs. 530,https://www.daraz.pk/products/dettol-soap-cool-110gm-pack-of-4-i4756972.html,Dettol Soap,Daraz
Dettol Soap Skincare 110gm - Pack of 4,Rs. 460,https://www.daraz.pk/products/dettol-soap-skincare-110gm-pack-of-4-i4756975.html,Dettol Soap,Daraz
Dettol Soap Original 110gm - Pack of 12,"Rs. 1,550",https://www.daraz.pk/products/dettol-soap-original-110gm-pack-of-12-i209164736.html,Dettol Soap,Daraz
Dettol Soap Original 80gm,Rs. 130,https://www.daraz.pk/products/dettol-soap-original-80gm-i143030859.html,Dettol Soap,Daraz
Dettol Soap Skincare 80gm - Pack of 3,Rs. 275,https://www.daraz.pk/products/dettol-soap-skincare-80gm-pack-of-3-i4756973.html,Dettol Soap,Daraz
FREE Dettol Soap Fresh 80gm with Dettol Soap Original 110gm - Pack of 4,Rs. 580,https://www.daraz.pk/products/free-dettol-soap-fresh-80gm-with-dettol-soap-original-110gm-pack-of-4-i214519991.html,Dettol Soap,Daraz
Dettol Soap Cool 80gm,Rs. 130,https://www.daraz.pk/products/dettol-soap-cool-80gm-i124034060.html,Dettol Soap,Daraz
Dettol Soap Soothe 110gm,Rs. 150,https://www.daraz.pk/products/dettol-soap-soothe-110gm-i143040166.html,Dettol Soap,Daraz
Dettol Soap Cool 110gm,Rs. 150,https://www.daraz.pk/products/dettol-soap-cool-110gm-i124052001.html,Dettol Soap,Daraz
Dettol Cool Soap 130gm,Rs. 149,https://www.daraz.pk/products/130-i885469806.html,Dettol Soap,Daraz
Dettol Original Soap 170gm,Rs. 186,https://www.daraz.pk/products/170-i885673083.html,Dettol Soap,Daraz
Chaseup Dettol Skincare Soap 160gm,Rs. 186,https://www.daraz.pk/products/160-i884604045.html,Dettol Soap,Daraz
Chaseup Dettol Soothe Soap 130gm,Rs. 149,https://www.daraz.pk/products/130-i884971020.html,Dettol Soap,Daraz
Chaseup Dettol Cool Soap 170gm,Rs. 186,https://www.daraz.pk/products/170-i885340274.html,Dettol Soap,Daraz
Chaseup DETTOL SOOTHE ANTIBACTERIAL BAR SOAP 160GM,Rs. 186,https://www.daraz.pk/products/160-i884176966.html,Dettol Soap,Daraz
Dettol Cool Soap Promo Pack 3pcs 85gm,Rs. 380,https://www.daraz.pk/products/3-85-i887331738.html,Dettol Soap,Daraz
Chaseup Dettol Skincare Soap Promo Pack 4pcs 110gm,Rs. 560,https://www.daraz.pk/products/4-110-i884575031.html,Dettol Soap,Daraz
Dettol Original Soap Promo Pack 80gm 3pcs,Rs. 380,https://www.daraz.pk/products/80-3-i887350341.html,Dettol Soap,Daraz
Chaseup Dettol Skincare Soap 110gm,Rs. 149,https://www.daraz.pk/products/110-i884604427.html,Dettol Soap,Daraz
Dettol Original Soap Promo Pack 4pcs 110gm,Rs. 560,https://www.daraz.pk/products/4-110-i885475454.html,Dettol Soap,Daraz
Safeguard Bath Soap Pure White 125gm (Bundle of 3),Rs. 435,https://www.daraz.pk/products/safeguard-bath-soap-pure-white-125gm-bundle-of-3-i1302261.html,Dettol Soap,Daraz
Lux Allure Tangerine Soap - 128G,Rs. 150,https://www.daraz.pk/products/lux-allure-tangerine-soap-128g-i864012921.html,Dettol Soap,Daraz
Safeguard Bath Soap Floral Scent 125gm,Rs. 148,https://www.daraz.pk/products/safeguard-bath-soap-floral-scent-125gm-i1302244.html,Dettol Soap,Daraz
Capri Soap Family Pack Glow-Green 72x150g,Rs. 151,https://www.daraz.pk/products/capri-soap-family-pack-glow-green72x150g-i240647715.html,Dettol Soap,Daraz
Dettol Cool Soap Promo Pack 4pcs 130gm,Rs. 560,https://www.daraz.pk/products/130-4-i887291958.html,Dettol Soap,Daraz
Dettol Soap Skincare 80gm,Rs. 110,https://www.daraz.pk/products/dettol-soap-skincare-80gm-i143028884.html,Dettol Soap,Daraz
